Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9297,1850 January 28,1:06:06,N,17N,13W
9298,1850 February 26,11:48:11,N,10N,173W
9299,1850 July 24,5:40:16,N,19S,84W
9300,1850 August 22,20:54:59,N,13S,47E
9301,1851 January 17,16:50:47,P,20N,110E
9302,1851 July 13,7:21:41,P,21S,109W
9303,1852 January 7,6:10:44,T-,22N,91W
9304,1852 July 1,15:26:13,T-,23S,129E
9305,1852 December 26,13:03:06,P,24N,164E
9306,1853 June 21,6:01:48,P,24S,90W
9307,1853 December 15,13:18:43,N,24N,159E
9308,1854 May 12,15:46:09,P,17S,123E
9309,1854 November 4,21:12:48,P,15N,38E
9310,1855 May 2,4:05:23,T+,15S,62W
9311,1855 October 25,7:29:40,T-,12N,116W
9312,1856 April 20,9:06:46,P,12S,137W
9313,1856 October 13,22:54:33,P,9N,13E
9314,1857 April 9,9:13:19,N,9S,138W
9315,1857 September 4,5:22:14,N,8S,80W
9316,1857 October 3,14:56:57,N,5N,132E
9317,1858 February 27,22:14:20,P,9N,30E
9318,1858 August 24,14:20:46,P,12S,146E
9319,1859 February 17,10:43:28,T+,12N,157W
9320,1859 August 13,16:34:26,T+,15S,113E
9321,1860 February 7,2:29:45,P,15N,34W
9322,1860 August 1,17:25:03,P,17S,100E
9323,1860 December 28,3:33:54,N,25N,53W
9324,1861 January 26,16:54:03,N,17N,109E
9325,1861 June 22,14:35:14,N,25S,142E
9326,1861 July 21,23:50:38,N,19S,3E
9327,1861 December 17,8:18:43,P,24N,125W
9328,1862 June 12,6:21:03,T,24S,95W
9329,1862 December 6,7:40:21,T+,23N,117W
9330,1863 June 1,23:26:14,T,22S,8E
9331,1863 November 25,8:56:11,P,20N,137W
9332,1864 May 21,13:12:02,N,19S,161E
9333,1864 October 15,6:30:47,N,10N,102W
9334,1864 November 13,17:21:25,N,17N,96E
9335,1865 April 11,4:38:10,P,9S,69W
9336,1865 October 4,22:40:01,P,5N,17E
9337,1866 March 31,4:33:35,T-,4S,67W
9338,1866 September 24,14:07:14,T+,1N,146E
9339,1867 March 20,8:49:01,P,1N,130W
9340,1867 September 14,0:26:27,P,4S,7W
9341,1868 February 8,9:49:41,N,14N,144W
9342,1868 March 8,20:09:48,N,6N,61E
9343,1868 August 3,12:09:13,N,16S,179E
9344,1868 September 2,3:41:27,N,9S,55W
9345,1869 January 28,1:38:27,P,17N,21W
9346,1869 July 23,14:02:45,P,19S,151E
9347,1870 January 17,14:46:33,T-,21N,141E
9348,1870 July 12,22:34:23,T-,22S,23E
9349,1871 January 6,21:16:40,P,23N,42E
9350,1871 July 2,13:27:48,P,24S,159E
9351,1871 December 26,21:19:33,N,25N,40E
9352,1872 May 22,23:18:24,P,20S,10E
9353,1872 November 15,5:19:37,P,18N,83W
9354,1873 May 12,11:20:26,T+,18S,171W
9355,1873 November 4,15:51:03,T-,15N,118E
9356,1874 May 1,16:03:17,P,16S,118E
9357,1874 October 25,7:16:22,T,12N,113W
9358,1875 April 20,16:15:23,N,13S,115E
9359,1875 September 15,12:57:27,N,4S,165E
9360,1875 October 14,23:02:55,N,9N,10E
9361,1876 March 10,6:21:31,P,5N,92W
9362,1876 September 3,21:22:33,P,8S,39E
9363,1877 February 27,19:15:38,T+,8N,74E
9364,1877 August 23,23:11:35,T-,11S,13E
9365,1878 February 17,11:11:05,P,11N,164W
9366,1878 August 13,0:08:23,P,14S,1W
9367,1879 January 8,12:04:10,N,24N,179W
9368,1879 February 7,1:28:35,N,14N,19W
9369,1879 July 3,21:50:28,N,24S,34E
9370,1879 August 2,6:57:44,N,17S,103W
9371,1879 December 28,16:26:22,P,24N,114E
9372,1880 June 22,13:50:27,T,24S,153E
9373,1880 December 16,15:39:03,T+,24N,124E
9374,1881 June 12,6:53:44,T,23S,104W
9375,1881 December 5,17:08:33,P,22N,101E
9376,1882 June 1,20:21:58,N,21S,54E
9377,1882 November 25,1:51:01,N,20N,31W
9378,1883 April 22,11:38:29,P,13S,175W
9379,1883 October 16,6:54:15,P,10N,107W
9380,1884 April 10,11:46:34,T-,8S,176W
9381,1884 October 4,22:01:55,T+,5N,27E
9382,1885 March 30,16:34:07,P,4S,113E
9383,1885 September 24,7:48:12,P,0N,119W
9384,1886 February 18,18:29:01,N,10N,86E
9385,1886 March 20,4:24:16,N,1N,64W
9386,1886 August 14,18:42:04,Ne,13S,80E
9387,1886 September 13,10:34:41,N,5S,159W
9388,1887 February 8,10:22:04,P,14N,152W
9389,1887 August 3,20:48:53,P,17S,49E
9390,1888 January 28,23:20:01,T-,18N,13E
9391,1888 July 23,5:44:47,T-,20S,85W
9392,1889 January 17,5:29:39,P,21N,80W
9393,1889 July 12,20:53:52,P,23S,48E
9394,1890 January 6,5:21:26,N,24N,79W
9395,1890 June 3,6:44:42,N,21S,101W
9396,1890 July 2,14:08:36,N,25S,149E
9397,1890 November 26,13:33:48,P,20N,154E
9398,1891 May 23,18:29:11,T,20S,82E
9399,1891 November 16,0:18:46,T-,18N,8W
9400,1892 May 11,22:53:20,P,19S,16E
9401,1892 November 4,15:44:53,T,16N,119E
9402,1893 April 30,23:08:58,N,16S,12E
9403,1893 September 25,20:39:00,Ne,0S,49E
9404,1893 October 25,7:16:16,N,13N,114W
9405,1894 March 21,14:20:27,P,0N,147E
9406,1894 September 15,4:31:25,P,4S,69W
9407,1895 March 11,3:39:10,T+,4N,52W
9408,1895 September 4,5:56:52,T-,7S,89W
9409,1896 February 28,19:45:40,P,7N,66E
9410,1896 August 23,6:57:19,P,11S,104W
9411,1897 January 18,20:33:07,N,22N,55E
9412,1897 February 17,9:57:44,N,11N,146W
9413,1897 July 14,5:05:19,N,23S,75W
9414,1897 August 12,14:08:38,N,14S,148E
9415,1898 January 8,0:34:46,P,23N,7W
9416,1898 July 3,21:17:20,P,23S,42E
9417,1898 December 27,23:41:52,T+,24N,5E
9418,1899 June 23,14:17:53,T+,23S,146E
9419,1899 December 17,1:25:45,P,23N,22W
9420,1900 June 13,3:27:37,Nx,22S,52W
9421,1900 December 6,10:26:29,N,21N,159W
9422,1901 May 3,18:30:38,Nx,17S,81E
9423,1901 October 27,15:15:18,P,14N,127E
9424,1902 April 22,18:52:40,T-,12S,76E
9425,1902 October 17,6:03:26,T+,9N,95W
9426,1903 April 12,0:12:59,P,8S,3W
9427,1903 October 6,15:17:33,P,4N,128E
9428,1904 March 2,3:02:34,N,6N,43W
9429,1904 March 31,12:32:28,N,3S,173E
9430,1904 September 24,17:34:44,N,1S,95E
9431,1905 February 19,19:00:02,P,11N,78E
9432,1905 August 15,3:40:59,P,14S,54W
9433,1906 February 9,7:46:58,T-,15N,113W
9434,1906 August 4,13:00:10,T+,17S,166E
9435,1907 January 29,13:38:00,P,19N,159E
9436,1907 July 25,4:22:27,P,21S,64W
9437,1908 January 18,13:21:36,N,22N,162E
9438,1908 June 14,14:06:32,N,22S,149E
9439,1908 July 13,21:33:55,N,23S,38E
9440,1908 December 7,21:55:09,Nx,22N,29E
9441,1909 June 4,1:28:51,T,22S,23W
9442,1909 November 27,8:54:41,T-,21N,137W
9443,1910 May 24,5:34:16,T,21S,85W
9444,1910 November 17,0:20:52,T,19N,9W
9445,1911 May 13,5:56:24,N,19S,90W
9446,1911 November 6,15:36:45,N,17N,121E
9447,1912 April 1,22:14:16,P,4S,28E
9448,1912 September 26,11:44:50,P,0N,178W
9449,1913 March 22,11:57:49,T+,0S,178W
9450,1913 September 15,12:48:19,T-,3S,167E
9451,1914 March 12,4:13:08,P,3N,61W
9452,1914 September 4,13:54:57,P,7S,151E
9453,1915 January 31,4:57:42,N,19N,70W
9454,1915 March 1,18:19:32,N,7N,88E
9455,1915 July 26,12:24:39,N,21S,176E
9456,1915 August 24,21:27:17,N,10S,38E
9457,1916 January 20,8:39:41,P,21N,127W
9458,1916 July 15,4:46:07,P,22S,70W
9459,1917 January 8,7:44:48,T+,23N,114W
9460,1917 July 4,21:39:04,T+,23S,36E
9461,1917 December 28,9:46:32,T,23N,146W
9462,1918 June 24,10:28:03,P,23S,157W
9463,1918 December 17,19:06:01,N,22N,73E
9464,1919 May 15,1:14:00,N,20S,20W
9465,1919 November 7,23:44:28,P,17N,0W
9466,1920 May 3,1:51:08,T,16S,29W
9467,1920 October 27,14:11:38,T+,13N,143E
9468,1921 April 22,7:44:39,T,12S,116W
9469,1921 October 16,22:53:59,P,9N,13E
9470,1922 March 13,11:28:48,N,2N,170W
9471,1922 April 11,20:32:12,N,7S,53E
9472,1922 October 6,0:43:50,N,4N,13W
9473,1923 March 3,3:32:09,P,6N,50W
9474,1923 August 26,10:39:52,P,10S,160W
9475,1924 February 20,16:08:55,T-,11N,121E
9476,1924 August 14,20:20:30,T+,14S,56E
9477,1925 February 8,21:42:22,P,15N,38E
9478,1925 August 4,11:52:57,P,18S,177W
9479,1926 January 28,21:20:24,N,19N,43E
9480,1926 June 25,21:25:07,N,22S,40E
9481,1926 July 25,5:00:12,N,21S,73W
9482,1926 December 19,6:20:07,Nx,22N,96W
9483,1927 June 15,8:24:41,T,23S,126W
9484,1927 December 8,17:35:10,T,22N,94E
9485,1928 June 3,12:09:57,T,23S,177E
9486,1928 November 27,9:01:47,T,22N,139W
9487,1929 May 23,12:37:45,N,21S,169E
9488,1929 November 17,0:03:13,N,20N,5W
9489,1930 April 13,5:58:54,P,8S,89W
9490,1930 October 7,19:07:10,P,5N,71E
9491,1931 April 2,20:07:55,T+,5S,59E
9492,1931 September 26,19:48:29,T-,1N,61E
9493,1932 March 22,12:32:39,P,1S,173E
9494,1932 September 14,21:01:00,P,3S,43E
9495,1933 February 10,13:17:33,N,16N,165E
9496,1933 March 12,2:33:03,N,2N,36W
9497,1933 August 5,19:46:05,N,18S,66E
9498,1933 September 4,4:52:20,N,6S,74W
9499,1934 January 30,16:42:42,P,18N,113E
9500,1934 July 26,12:15:38,P,20S,178E
9501,1935 January 19,15:47:35,T+,21N,126E
9502,1935 July 16,5:00:05,T+,21S,73W
9503,1936 January 8,18:09:58,T,22N,89E
9504,1936 July 4,17:25:23,P,22S,100E
9505,1936 December 28,3:49:09,N,22N,57W
9506,1937 May 25,7:51:34,N,22S,119W
9507,1937 November 18,8:19:26,P,20N,129W
9508,1938 May 14,8:44:00,T,19S,132W
9509,1938 November 7,22:26:42,T,17N,19E
9510,1939 May 3,15:11:43,T,15S,131E
9511,1939 October 28,6:36:43,P,12N,103W
9512,1940 March 23,19:48:19,N,3S,64E
9513,1940 April 22,4:26:25,N,11S,67W
9514,1940 October 16,8:01:17,N,8N,124W
9515,1941 March 13,11:55:47,P,2N,177W
9516,1941 September 5,17:47:15,P,6S,93E
9517,1942 March 3,0:21:54,T-,7N,2W
9518,1942 August 26,3:48:25,T+,10S,57W
9519,1943 February 20,5:38:23,P,12N,81W
9520,1943 August 15,19:28:46,P,15S,69E
9521,1944 February 9,5:14:57,N,16N,75W
9522,1944 July 6,4:40:01,N,21S,69W
9523,1944 August 4,12:26:51,N,18S,175E
9524,1944 December 29,14:49:35,Nx,22N,138E
9525,1945 June 25,15:14:22,P,23S,132E
9526,1945 December 19,2:20:47,T,23N,36W
9527,1946 June 14,18:39:17,T-,23S,80E
9528,1946 December 8,17:48:28,T,23N,91E
9529,1947 June 3,19:15:44,P,23S,70E
9530,1947 November 28,8:34:29,N,22N,132W
9531,1948 April 23,13:39:18,P,12S,155E
9532,1948 October 18,2:35:41,Nx,9N,42W
9533,1949 April 13,4:11:25,T+,9S,62W
9534,1949 October 7,2:56:55,T,5N,47W
9535,1950 April 2,20:44:34,T,5S,50E
9536,1950 September 26,4:17:11,T,1N,66W
9537,1951 March 23,10:37:33,N,2S,158W
9538,1951 August 17,3:14:39,N,15S,47W
9539,1951 September 15,12:27:06,N,2S,172E
9540,1952 February 11,0:39:48,P,15N,6W
9541,1952 August 5,19:47:55,P,18S,65E
9542,1953 January 29,23:47:49,T+,18N,7E
9543,1953 July 26,12:21:10,T-,19S,176E
9544,1954 January 19,2:32:21,T,20N,35W
9545,1954 July 16,0:20:51,P,21S,4W
9546,1955 January 8,12:33:20,N,21N,173E
9547,1955 June 5,14:23:23,N,24S,144E
9548,1955 November 29,17:00:00,P,22N,102E
9549,1956 May 24,15:31:52,P,21S,126E
9550,1956 November 18,6:48:16,T,20N,106W
9551,1957 May 13,22:31:28,T,18S,21E
9552,1957 November 7,14:27:30,T,16N,139E
9553,1958 April 4,4:00:15,Ne,7S,60W
9554,1958 May 3,12:13:29,P,15S,176E
9555,1958 October 27,15:27:50,N,12N,124E
9556,1959 March 24,20:11:57,P,2S,58E
9557,1959 September 17,1:03:37,N,2S,17W
9558,1960 March 13,8:28:21,T-,3N,125W
9559,1960 September 5,11:21:51,T+,6S,171W
9560,1961 March 2,13:28:40,P,8N,161E
9561,1961 August 26,3:08:51,P,11S,46W
9562,1962 February 19,13:03:42,N,12N,168E
9563,1962 July 17,11:54:49,N,20S,177W
9564,1962 August 15,19:57:30,N,15S,62E
9565,1963 January 9,23:19:42,Nx,21N,12E
9566,1963 July 6,22:02:59,P,22S,31E
9567,1963 December 30,11:07:25,T,23N,166W
9568,1964 June 25,1:06:50,T-,24S,16W
9569,1964 December 19,2:37:54,T,24N,40W
9570,1965 June 14,1:49:26,P,24S,27W
9571,1965 December 8,17:10:32,N,24N,100E
9572,1966 May 4,21:12:06,N,15S,42E
9573,1966 October 29,10:12:53,N,12N,157W
9574,1967 April 24,12:07:04,T,12S,178E
9575,1967 October 18,10:15:48,T,9N,157W
9576,1968 April 13,4:48:01,T,9S,72W
9577,1968 October 6,11:42:35,T,6N,179W
9578,1969 April 2,18:33:06,N,6S,82E
9579,1969 August 27,10:48:15,Ne,11S,161W
9580,1969 September 25,20:10:19,N,2N,55E
9581,1970 February 21,8:30:43,P,11N,124W
9582,1970 August 17,3:24:06,P,14S,49W
9583,1971 February 10,7:45:21,T,15N,112W
9584,1971 August 6,19:43:52,T-,17S,66E
9585,1972 January 30,10:54:05,T,17N,160W
9586,1972 July 26,7:16:22,P,19S,108W
9587,1973 January 18,21:17:58,N,19N,43E
9588,1973 June 15,20:50:41,N,25S,48E
9589,1973 July 15,11:39:19,Nb,20S,174W
9590,1973 December 10,1:45:06,P,24N,28W
9591,1974 June 4,22:16:44,P,23S,26E
9592,1974 November 29,15:14:07,T,22N,129E
9593,1975 May 25,5:48:47,T+,21S,88W
9594,1975 November 18,22:24:12,T,19N,20E
9595,1976 May 13,19:55:08,P,18S,61E
9596,1976 November 6,23:01:59,N,15N,11E
9597,1977 April 4,4:19:04,P,7S,64W
9598,1977 September 27,8:30:08,N,3N,130W
9599,1978 March 24,16:23:11,T-,2S,116E
9600,1978 September 16,19:05:01,T,2S,73E
9601,1979 March 13,21:08:52,P,3N,46E
9602,1979 September 6,10:55:02,T,7S,164W
9603,1980 March 1,20:46:03,N,8N,52E
9604,1980 July 27,19:08:59,N,18S,74E
9605,1980 August 26,3:31:20,N,12S,52W
9606,1981 January 20,7:50:48,Nx,19N,115W
9607,1981 July 17,4:47:40,P,21S,70W
9608,1982 January 9,19:56:44,T,22N,63E
9609,1982 July 6,7:31:47,T-,23S,112W
9610,1982 December 30,11:29:37,T,24N,172W
9611,1983 June 25,8:23:11,P,24S,125W
9612,1983 December 20,1:49:57,N,24N,28W
9613,1984 May 15,4:41:03,N,18S,71W
9614,1984 June 13,14:26:39,Nb,25S,143E
9615,1984 November 8,17:56:08,N,16N,88E
9616,1985 May 4,19:57:19,T,16S,60E
9617,1985 October 28,17:43:17,T,13N,91E
9618,1986 April 24,12:43:30,T,13S,169E
9619,1986 October 17,19:18:54,T,10N,67E
9620,1987 April 14,2:19:50,N,10S,35W
9621,1987 October 7,4:02:30,N,6N,64W
9622,1988 March 3,16:13:41,Nx,7N,120E
9623,1988 August 27,11:05:29,P,11S,165W
9624,1989 February 20,15:36:18,T,11N,130E
9625,1989 August 17,3:09:07,T-,14S,46W
9626,1990 February 9,19:12:02,T,14N,76E
9627,1990 August 6,14:13:16,P,16S,148E
9628,1991 January 30,5:59:38,N,17N,87W
9629,1991 June 27,3:15:41,N,25S,48W
9630,1991 July 26,18:08:50,N,18S,89E
9631,1991 December 21,10:34:00,P,24N,159W
9632,1992 June 15,4:57:57,P,24S,74W
9633,1992 December 9,23:45:05,T,23N,2E
9634,1993 June 4,13:01:26,T+,22S,164E
9635,1993 November 29,6:27:06,T,21N,99W
9636,1994 May 25,3:31:20,P,20S,53W
9637,1994 November 18,6:44:54,N,18N,105W
9638,1995 April 15,12:19:04,P,11S,175E
9639,1995 October 8,16:05:12,N,7N,116E
9640,1996 April 4,0:10:47,T-,6S,2W
9641,1996 September 27,2:55:24,T,2N,46W
9642,1997 March 24,4:40:28,P,1S,68W
9643,1997 September 16,18:47:42,T,3S,77E
9644,1998 March 13,4:21:08,N,4N,62W
9645,1998 August 8,2:25:57,N,15S,35W
9646,1998 September 6,11:11:11,N,7S,168W
9647,1999 January 31,16:18:35,Nx,16N,119E
9648,1999 July 28,11:34:46,P,18S,172W
9649,2000 January 21,4:44:34,T,20N,68W
9650,2000 July 16,13:56:39,T+,21S,153E
9651,2001 January 9,20:21:40,T,22N,57E
9652,2001 July 5,14:56:23,P,23S,137E
9653,2001 December 30,10:30:22,N,24N,157W
9654,2002 May 26,12:04:26,N,20S,179E
9655,2002 June 24,21:28:13,N,25S,39E
9656,2002 November 20,1:47:40,N,19N,30W
9657,2003 May 16,3:41:13,T,19S,56W
9658,2003 November 9,1:19:38,T,16N,24W
9659,2004 May 4,20:31:17,T,17S,51E
9660,2004 October 28,3:05:11,T,13N,50W
9661,2005 April 24,9:55:55,N,14S,150W
9662,2005 October 17,12:04:27,P,10N,175E
9663,2006 March 14,23:48:34,Nx,3N,6E
9664,2006 September 7,18:52:25,P,7S,77E
9665,2007 March 3,23:21:59,T,7N,13E
9666,2007 August 28,10:38:27,T-,10S,159W
9667,2008 February 21,3:27:09,T,10N,48W
9668,2008 August 16,21:11:12,P,13S,43E
9669,2009 February 9,14:39:22,N,14N,144E
9670,2009 July 7,9:39:43,N,24S,143W
9671,2009 August 6,0:40:18,N,16S,9W
9672,2009 December 31,19:23:46,P,24N,70E
9673,2010 June 26,11:39:34,P,24S,174W
9674,2010 December 21,8:18:04,T,24N,125W
9675,2011 June 15,20:13:43,T+,23S,57E
9676,2011 December 10,14:32:56,T,23N,140E
9677,2012 June 4,11:04:20,P,22S,166W
9678,2012 November 28,14:34:07,N,20N,139E
9679,2013 April 25,20:08:38,P,14S,57E
9680,2013 May 25,4:11:06,Nb,19S,63W
9681,2013 October 18,23:51:25,N,11N,2W
9682,2014 April 15,7:46:48,T,10S,116W
9683,2014 October 8,10:55:44,T,6N,167W
9684,2015 April 4,12:01:24,T,5S,179W
9685,2015 September 28,2:48:17,T,2N,44W
9686,2016 March 23,11:48:21,N,0S,175W
9687,2016 September 16,18:55:27,N,3S,75E
9688,2017 February 11,0:45:03,N,13N,8W
9689,2017 August 7,18:21:38,P,15S,86E
9690,2018 January 31,13:31:00,T,17N,161E
9691,2018 July 27,20:22:54,T+,19S,56E
9692,2019 January 21,5:13:27,T,20N,75W
9693,2019 July 16,21:31:55,P,22S,39E
9694,2020 January 10,19:11:11,N,23N,74E
9695,2020 June 5,19:26:14,N,21S,69E
9696,2020 July 5,4:31:12,N,24S,66W
9697,2020 November 30,9:44:01,N,21N,148W
